dataTransacao,valorTransacao,estab_nome,ug_nome,portador_nome,dia_semana,fim_de_semana
2025-11-27,5340.0,ASAAS GESTAO FINANCEIRA INSTITUICAO DE PAGAMENTO S.A.,INSTITUTO NACIONAL DO CANCER - RJ,ANTONIO JOSE DA SILVA NETO,Thursday,False
2020-06-09,5180.0,PAYPAL DO BRASIL INSTITUICAO DE PAGAMENTO LTDA,INST. NACIONAL DE TRAUMATOLOGIA E ORTOPEDIA,ELAINE IRENE DE OLIVEIRA MENDES,Tuesday,False
2023-03-20,3120.0,ASAAS GESTAO FINANCEIRA INSTITUICAO DE PAGAMENTO S.A.,SUPERINTENDENCIA DO MINISTERIO DA SAUDE / SP,ROSELY INACIO DOS SANTOS,Monday,False
2025-06-16,2250.0,PAYGO ADMINISTRADORA DE MEIOS DE PAGAMENTOS LTDA,INSTITUTO NACIONAL DO CANCER - RJ,JOSE MAURICIO TEIXEIRA DA SILVA,Monday,False
2020-08-11,1950.6,EBANX INSTITUICAO DE PAGAMENTOS LTDA,INST. NACIONAL DE TRAUMATOLOGIA E ORTOPEDIA,ELAINE IRENE DE OLIVEIRA MENDES,Tuesday,False
2020-07-02,1900.0,SUMUP INSTITUICAO DE PAGAMENTO BRASIL LTDA,INSTITUTO NACIONAL DO CANCER - RJ,ADRIANA BATISTA DO NASCIMENTO GONCALVES,Thursday,False
2022-02-14,1705.0,MERCADO PAGO INSTITUICAO DE PAGAMENTO LTDA,HOSPITAL FEDERAL DE IPANEMA,HEITOR LUIZ DE OLIVEIRA,Monday,False
2021-12-17,1700.0,MERCADO PAGO INSTITUICAO DE PAGAMENTO LTDA,SUPERINTENDENCIA DO MINISTERIO DA SAUDE / SC,JOAO VICTOR BATISTA DE OLIVEIRA,Friday,False
2021-11-09,1675.29,MERCADO PAGO INSTITUICAO DE PAGAMENTO LTDA,DISTRITO SANIT.ESP.INDIGENA - PERNAMBUCO,ANTONIO DE CARVALHO SA,Tuesday,False
2023-11-17,1645.0,PAYGO ADMINISTRADORA DE MEIOS DE PAGAMENTOS LTDA,INSTITUTO NACIONAL DO CANCER - RJ,JOSE MAURICIO TEIXEIRA DA SILVA,Friday,False
2022-04-06,1600.0,MERCADO PAGO INSTITUICAO DE PAGAMENTO LTDA,CENTRO NACIONAL DE PRIMATAS,DIEGO ATIE FADUL,Wednesday,False
2025-04-17,1568.0,YAPAY PAGAMENTOS ONLINE S/A,INST. NACIONAL DE TRAUMATOLOGIA E ORTOPEDIA,ELAINE IRENE DE OLIVEIRA MENDES,Thursday,False
2025-11-14,1555.0,PAYGO ADMINISTRADORA DE MEIOS DE PAGAMENTOS LTDA,INSTITUTO NACIONAL DO CANCER - RJ,JOSE MAURICIO TEIXEIRA DA SILVA,Friday,False
2022-04-12,1500.0,MERCADO PAGO INSTITUICAO DE PAGAMENTO LTDA,CENTRO NACIONAL DE PRIMATAS,DIEGO ATIE FADUL,Tuesday,False
