mes,tipoCartao,total_gasto
1,"{'ID': 1, 'CODIGO': '1', 'DESCRICAO': 'CARTÃO DE PAGAMENTO DO GOVERNO FEDERAL - CPGF'}",55122.68
1,"{'ID': 2, 'CODIGO': '2', 'DESCRICAO': 'CARTÃO DE PAGAMENTO DE COMPRAS CENTRALIZADAS - CPCC'}",1070808.9
2,"{'ID': 1, 'CODIGO': '1', 'DESCRICAO': 'CARTÃO DE PAGAMENTO DO GOVERNO FEDERAL - CPGF'}",275008.67
2,"{'ID': 2, 'CODIGO': '2', 'DESCRICAO': 'CARTÃO DE PAGAMENTO DE COMPRAS CENTRALIZADAS - CPCC'}",1492078.64
3,"{'ID': 1, 'CODIGO': '1', 'DESCRICAO': 'CARTÃO DE PAGAMENTO DO GOVERNO FEDERAL - CPGF'}",462822.18
3,"{'ID': 2, 'CODIGO': '2', 'DESCRICAO': 'CARTÃO DE PAGAMENTO DE COMPRAS CENTRALIZADAS - CPCC'}",4129482.71
4,"{'ID': 1, 'CODIGO': '1', 'DESCRICAO': 'CARTÃO DE PAGAMENTO DO GOVERNO FEDERAL - CPGF'}",545933.37
4,"{'ID': 2, 'CODIGO': '2', 'DESCRICAO': 'CARTÃO DE PAGAMENTO DE COMPRAS CENTRALIZADAS - CPCC'}",4929951.37
5,"{'ID': 1, 'CODIGO': '1', 'DESCRICAO': 'CARTÃO DE PAGAMENTO DO GOVERNO FEDERAL - CPGF'}",396426.26
5,"{'ID': 2, 'CODIGO': '2', 'DESCRICAO': 'CARTÃO DE PAGAMENTO DE COMPRAS CENTRALIZADAS - CPCC'}",6382251.77
6,"{'ID': 1, 'CODIGO': '1', 'DESCRICAO': 'CARTÃO DE PAGAMENTO DO GOVERNO FEDERAL - CPGF'}",734384.26
6,"{'ID': 2, 'CODIGO': '2', 'DESCRICAO': 'CARTÃO DE PAGAMENTO DE COMPRAS CENTRALIZADAS - CPCC'}",5652994.14
7,"{'ID': 1, 'CODIGO': '1', 'DESCRICAO': 'CARTÃO DE PAGAMENTO DO GOVERNO FEDERAL - CPGF'}",557796.46
7,"{'ID': 2, 'CODIGO': '2', 'DESCRICAO': 'CARTÃO DE PAGAMENTO DE COMPRAS CENTRALIZADAS - CPCC'}",4902691.48
8,"{'ID': 1, 'CODIGO': '1', 'DESCRICAO': 'CARTÃO DE PAGAMENTO DO GOVERNO FEDERAL - CPGF'}",506474.03
8,"{'ID': 2, 'CODIGO': '2', 'DESCRICAO': 'CARTÃO DE PAGAMENTO DE COMPRAS CENTRALIZADAS - CPCC'}",4231724.09
9,"{'ID': 1, 'CODIGO': '1', 'DESCRICAO': 'CARTÃO DE PAGAMENTO DO GOVERNO FEDERAL - CPGF'}",451769.39
9,"{'ID': 2, 'CODIGO': '2', 'DESCRICAO': 'CARTÃO DE PAGAMENTO DE COMPRAS CENTRALIZADAS - CPCC'}",5939483.33
10,"{'ID': 1, 'CODIGO': '1', 'DESCRICAO': 'CARTÃO DE PAGAMENTO DO GOVERNO FEDERAL - CPGF'}",433761.38
10,"{'ID': 2, 'CODIGO': '2', 'DESCRICAO': 'CARTÃO DE PAGAMENTO DE COMPRAS CENTRALIZADAS - CPCC'}",4212074.03
11,"{'ID': 1, 'CODIGO': '1', 'DESCRICAO': 'CARTÃO DE PAGAMENTO DO GOVERNO FEDERAL - CPGF'}",590160.74
11,"{'ID': 2, 'CODIGO': '2', 'DESCRICAO': 'CARTÃO DE PAGAMENTO DE COMPRAS CENTRALIZADAS - CPCC'}",5051297.06
12,"{'ID': 1, 'CODIGO': '1', 'DESCRICAO': 'CARTÃO DE PAGAMENTO DO GOVERNO FEDERAL - CPGF'}",369225.22
12,"{'ID': 2, 'CODIGO': '2', 'DESCRICAO': 'CARTÃO DE PAGAMENTO DE COMPRAS CENTRALIZADAS - CPCC'}",1539731.61
