dia,total_gasto,total_transacoes
1,1584957.6,2439
2,1263615.87,2070
3,1962905.28,2848
4,2033241.92,3153
5,1862083.12,2795
6,1638891.82,2597
7,1942879.04,3080
8,2741941.83,3813
9,1672889.5,2592
10,1717148.72,2854
11,1942967.41,3172
12,1804648.05,2851
13,1744186.36,2737
14,1866801.08,2961
15,1502028.02,2571
16,1949411.86,2935
17,1949004.03,3096
18,2106053.02,3330
19,1751276.61,2927
20,1781439.32,3007
21,1678867.64,2703
22,1861603.93,3132
23,1888737.41,3190
24,1858562.03,3005
25,1753019.17,2816
26,1561145.88,2654
27,1709103.02,2836
28,1508031.46,2487
29,1826396.42,2946
30,1512475.37,2386
31,937140.98,1504
