ug_nome,mes,total_gasto,media_mensal,variacao_pct
HOSPITAL FEDERAL DA LAGOA,4,73020.98999999999,11695.837272727273,524.33
DISTRITO SANIT.ESP.INDIGENA - PERNAMBUCO,12,125044.94,28158.744545454545,344.07
DISTRITO SANIT.ESP.INDIGENA - LITORAL SUL,2,14625.0,3397.4,330.48
INST. NACIONAL DE TRAUMATOLOGIA E ORTOPEDIA,6,313354.77,76654.79,308.79
DISTRITO SANIT.ESP.INDIGENA - XINGU,6,16876.0,5535.099999999999,204.89
DISTRITO SANIT.ESP.INDIGENA - MANAUS,4,6772.67,2326.8137500000003,191.07
SUPERINTENDENCIA DO MINISTERIO DA SAUDE / RJ,11,111002.54000000001,40068.806666666664,177.03
GABINETE DO MINISTRO - MS,8,5405.46,1979.9466666666667,173.01
SUPERINTENDENCIA DO MINISTERIO DA SAUDE / CE,9,45546.55,16922.9225,169.14
DISTRITO SANIT.ESP.INDIGENA - MG/ES,4,24249.28,9363.711666666666,158.97
DISTRITO SANIT.ESP.INDIGENA - CEARA,10,4360.03,1693.0625,157.52
SUPERINTENDENCIA DO MINISTERIO DA SAUDE / PI,9,29404.98,11629.920833333332,152.84
DIRETORIA EXECUTIVA DO FUNDO NAC. DE SAUDE,6,2344.73,933.6591666666667,151.13
DISTRITO SANIT.ESP.INDIGENA AL/SE,4,4410.0,1797.5783333333331,145.33
DISTRITO SANIT.ESP.INDIGENA - POTIGUARA,1,5380.26,2199.679090909091,144.59
SUPERINTENDENCIA DO MINISTERIO DA SAUDE / SP,11,34417.88,14289.099166666667,140.87
HOSPITAL FEDERAL CARDOSO FONTES,5,7660.4,3190.0649999999996,140.13
DISTRITO SANIT.ESP.INDIGENA - PARINTINS,7,4551.31,1902.091,139.28
SUPERINTENDENCIA DO MINISTERIO DA SAUDE / AC,7,38978.51,16347.692000000001,138.43
HOSPITAL FEDERAL CARDOSO FONTES,7,7592.17,3190.0649999999996,137.99
INST. NACIONAL DE TRAUMATOLOGIA E ORTOPEDIA,7,178037.73,76654.79,132.26
DISTRITO SANIT.ESP.INDIGENA MATO GROSSO SUL,3,12601.26,5427.152222222223,132.19
SUPERINTENDENCIA DO MINISTERIO DA SAUDE / SC,6,48206.03,20792.180833333332,131.85
INSTITUTO NACIONAL DE CARDIOLOGIA,5,23462.57,10451.125,124.5
HOSPITAL FEDERAL DA LAGOA,5,26191.2,11695.837272727273,123.94
SUPERINTENDENCIA DO MINISTERIO DA SAUDE / MA,7,34486.15,15589.631,121.21
SUPERINTENDENCIA DO MINISTERIO DA SAUDE / TO,6,33225.69,15161.901666666667,119.14
SUPERINTENDENCIA DO MINISTERIO DA SAUDE / SE,9,32390.26,14868.749,117.84
DISTRITO SANIT.ESP.INDIGENA - MARANHAO,3,23351.16,10723.177272727273,117.76
SUPERINTENDENCIA DO MINISTERIO DA SAUDE / PB,5,34694.95,16008.859166666667,116.72
DISTRITO SANIT.ESP.INDIGENA - CUIABA,12,22034.38,10209.380000000001,115.82
SUPERINTENDENCIA DO MINISTERIO DA SAUDE / MS,5,23162.71,10808.853,114.29
