portador_nome,total_gasto,total_transacoes,ticket_medio,estabelecimentos_distintos
NAO SE APLICA,49534569.13,71742,690.45,7
JOSE MAURICIO TEIXEIRA DA SILVA,250589.58,460,544.76,152
ELAINE IRENE DE OLIVEIRA MENDES,237480.5,142,1672.4,64
JOCELY DA COSTA FERREIRA,186489.15,523,356.58,44
ROBERTO CARVALHO DE ARAUJO,179586.96,334,537.69,4
PAULO GUILHERME DE FIGUEIREDO,174726.65,148,1180.59,57
ADRIANA LEITE ARANTES,153269.19,970,158.01,38
ELINEA MARIA DE JESUS,118959.75,365,325.92,123
SOCRATES FELIX ALVES,113977.92,139,819.99,4
JOABE ANTONIO DE OLIVEIRA,104130.95,39,2670.02,24
PAULO HENRIQUE GOMES DE CASTRO,99193.82,88,1127.2,3
AUGUSTO PEREIRA CORDEIRO,97393.88,836,116.5,114
CLECIO XAVIER ROCHA,93054.65,189,492.35,5
GILSON PESSOA BRASIL,85748.62,59,1453.37,4
ADRIANA BATISTA DO NASCIMENTO GONCALVES,82698.04,222,372.51,77
DINELCIO CARVALHO BORGES,78166.84,104,751.6,47
LUIS CARLOS PEREIRA DA COSTA,73090.77,98,745.82,26
CARLOS EDUARDO CHITA RODRIGUES DA COSTA,71713.38,173,414.53,74
ANTONIO DE CARVALHO SA,71675.67,117,612.61,15
CARLOS PEREIRA,65411.97,81,807.56,39
